index_right,gu_name,grid_id,driving_pop,fast_count,slow_count,total_output_kw,total_active_count,pop_per_charger,poi_count,exclude,log_pop_per_charger,s_pop_per_charger,s_poi,s_capacity_lack,s_population,s_poi_spatial
19,동대문구,NE_GRID_1332,1340,2,32,328,34,38.28571429,7,0,3.670860949,0.386035144,0.308068554,0.343559425,0.759902991,0.36429536
19,동대문구,NE_GRID_1333,970,1,0,100,1,485,33,0,6.186208624,0.800024894,0.522429107,0.872020988,0.460792239,0.502272244
19,동대문구,NE_GRID_1334,1340,0,0,0,0,1340,6,0,7.201170883,0.967072963,0.288285924,1,0.759902991,0.333374247
19,동대문구,NE_GRID_1335,435,0,6,56,6,62.14285714,9,0,4.145399733,0.464137346,0.341127195,0.64071749,0.02829426,0.394438051
19,동대문구,NE_GRID_1336,757,4,0,300,4,151.4,140,0,5.026508643,0.609155095,0.733157087,0.702841936,0.288601455,0.726107999
19,동대문구,NE_GRID_1337,995,0,33,231,33,29.26470588,110,0,3.409982211,0.343098287,0.69771529,0.34891153,0.481002425,0.745393249
19,동대문구,NE_GRID_1338,701,3,0,250,3,175.25,183,0,5.171903442,0.63308497,0.772590951,0.744041975,0.243330639,0.79937008
19,동대문구,NE_GRID_1339,970,0,6,22,6,138.5714286,130,0,4.938576503,0.59468274,0.722258818,0.64071749,0.460792239,0.764897126
17,성북구,NE_GRID_1340,685,0,6,22,6,97.85714286,130,0,4.593675807,0.537917087,0.722258818,0.64071749,0.23039612,0.743632384
19,동대문구,NE_GRID_1341,1562,12,58,866,70,22,46,0,3.135494216,0.297921543,0.570398052,0.212961437,0.939369442,0.615862126
17,성북구,NE_GRID_1342,1315,12,58,866,70,18.52112676,46,0,2.971497303,0.27093003,0.570398052,0.212961437,0.739692805,0.619457409
19,동대문구,NE_GRID_1343,1562,0,10,70,10,142,164,0,4.96284463,0.598676921,0.756444077,0.557265358,0.939369442,0.775989931
17,성북구,NE_GRID_1344,588,0,10,70,10,53.45454545,164,0,3.997366325,0.439773194,0.756444077,0.557265358,0.151980598,0.792884801
17,성북구,NE_GRID_1345,938,0,58,336,58,15.89830508,138,0,2.827213326,0.24718298,0.731040627,0.247145152,0.434923201,0.771843943
17,성북구,NE_GRID_1346,771,0,0,0,0,771,141,0,6.64898455,0.8761911,0.734204085,1,0.299919159,0.778297031
17,성북구,NE_GRID_1347,698,1,0,100,1,349,214,0,5.857933154,0.745995512,0.795658189,0.872020988,0.240905416,0.830335036
14,노원구,NE_GRID_1348,928,1,0,100,1,464,214,0,6.142037406,0.792754952,0.795658189,0.872020988,0.426839127,0.832484014
17,성북구,NE_GRID_1349,1380,2,2,214,4,276,162,0,5.624017506,0.707496389,0.754637352,0.702841936,0.792239289,0.797970538
14,노원구,NE_GRID_1350,855,2,2,214,4,171,162,0,5.147494477,0.629067608,0.754637352,0.702841936,0.367825384,0.785569212
14,노원구,NE_GRID_1351,1274,0,56,208,56,22.35087719,96,0,3.150634551,0.300413423,0.677741868,0.253512497,0.7065481,0.71601033
14,노원구,NE_GRID_1352,1246,0,13,91,13,89,70,0,4.49980967,0.522468082,0.631514567,0.512738477,0.683912692,0.660849002
14,노원구,NE_GRID_1353,778,0,3,21,3,194.5,41,0,5.275560379,0.650145399,0.553734477,0.744041975,0.305578011,0.606103905
14,노원구,NE_GRID_1354,928,20,27,2649,47,19.33333333,113,0,3.012261576,0.277639238,0.701666182,0.285242015,0.426839127,0.702593159
14,노원구,NE_GRID_1355,928,0,1,7,1,464,31,0,6.142037406,0.792754952,0.51344759,0.872020988,0.426839127,0.548990863
14,노원구,NE_GRID_1356,1015,0,0,0,0,1015,15,0,6.923628628,0.921393532,0.410758072,1,0.497170574,0.461161096
14,노원구,NE_GRID_1357,776,0,0,0,0,776,51,0,6.65544035,0.877253631,0.585375407,1,0.303961196,0.603595554
